"X..ve.word.count.","X..ve.word.count..1","X.overall.polarity.","X.times.change.in.pol.","X.largest...cont.","X.largest...cont..1","X.capital.letters.","X.punctuation.","emoji_count","laughter_exp_count"
0,1,-3,0,0,1,7,1,10,0
0,2,-2,0,0,2,2,0,16,0
2,0,3,0,2,0,8,2,18,0
2,0,2,0,2,0,13,0,21,0
1,1,0,1,1,1,2,0,19,0
1,1,-1,1,1,1,3,0,14,0
0,0,0,0,0,0,7,0,18,0
2,0,3,0,2,0,8,0,18,0
3,0,3,0,3,0,9,0,13,0
1,0,1,0,1,0,1,0,14,0
0,0,0,0,0,0,2,0,4,0
1,0,2,0,1,0,5,0,16,0
0,0,0,0,0,0,8,0,19,0
0,0,0,0,0,0,9,0,24,0
0,1,-1,0,0,1,3,1,13,0
0,1,-1,0,0,1,3,0,21,0
1,1,0,1,1,1,8,0,26,0
0,2,-2,0,0,2,14,0,8,0
0,0,0,0,0,0,26,0,35,0
1,0,1,0,1,0,3,0,29,0
0,0,0,0,0,0,22,1,31,0
0,0,0,0,0,0,2,0,27,0
